Name,Data Type,Statistical Method,Effect Measure,Analysis Model,Events 1,Mean 1,SD 1,Total 1,Events 2,Mean 2,SD 2,Total 2,Effect Estimate,SE,CI Start,CI End,Weight,Q,P(Q),I²(Q),Tau²,Z,P(Z),Qint,P(Qint),I²(Qint),df,Year of study
Rotarix versus placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotavirus diarrhoea: severe (up to 1 year follow-up),DIC,IV,Odds Ratio,Random,177,,,31503,439,,,25095,0.23319192,,0.15648058,0.3475094,100,42.98033863,0.00002275,72.0802572,0.32585828,7.15288248,0,16.64391409,0.00024312,87.98359575,12,
Low-mortality countries,DIC,IV,Odds Ratio,Random,8,,,8188,89,,,6788,0.06608566,,0.02869524,0.15219647,16.37591841,3.49794472,0.32102891,14.23535132,0.11823656,6.38300926,0,,,,3,
RIX Bernstein 1999-USA,,,,,2,0,0,108,9,0,0,107,0.20545073,0.79419718,0.04331974,0.97438269,4.3307515,,,,,,,,,,,1999
RIX Phua 2009-AS,,,,,0,0,0,5263,15,0,0,5256,0.03212323,1.43697491,0.0019216,0.53700031,1.73285374,,,,,,,,,,,2009
RIX Vesikari 2004b-FIN,,,,,1,0,0,245,5,0,0,123,0.09672131,1.1011689,0.01117392,0.83721855,2.69289197,,,,,,,,,,,2004
RIX Vesikari 2007a-EU,,,,,5,0,0,2572,60,0,0,1302,0.04031944,0.46675623,0.01615143,0.100651,7.61942119,,,,,,,,,,,2007
Medium-mortality countries,DIC,IV,Odds Ratio,Random,61,,,17472,185,,,14199,0.20743077,,0.15343839,0.28042215,37.7081421,0.50633618,0.91749725,0,0,10.22539214,0,,,,3,
RIX Li 2014-CHN,,,,,8,0,0,1575,32,0,0,1573,0.24585195,0.39690942,0.11293375,0.53520919,8.57027052,,,,,,,,,,,2014
RIX Ruiz-Palac 06-LA/EU,,,,,18,0,0,10159,94,0,0,10010,0.18724076,0.25766899,0.11299836,0.31026203,10.56166301,,,,,,,,,,,2006
RIX Salinas 2005-LA,,,,,28,0,0,1527,40,0,0,517,0.2227485,0.25194808,0.13594279,0.36498362,10.64075222,,,,,,,,,,,2005
RIX Tregnaghi 2011-LA,,,,,7,0,0,4211,19,0,0,2099,0.18228254,0.442953,0.07650728,0.43429751,7.93545635,,,,,,,,,,,2011
High-mortality countries,DIC,IV,Odds Ratio,Random,108,,,5843,165,,,4108,0.4007677,,0.27075586,0.59320876,45.91593949,8.1560897,0.08602497,50.95689056,0.0959892,4.56986573,0.00000488,,,,4,
RIX Colgate 2016-BGD,,,,,14,0,0,350,39,0,0,350,0.33226496,0.32134284,0.17699338,0.62375216,9.65425503,,,,,,,,,,,2016
RIX Madhi 2010-MWI,,,,,52,0,0,1182,47,0,0,591,0.53263039,0.20791959,0.35435981,0.80058494,11.2244769,,,,,,,,,,,
RIX Madhi 2010-ZAF,,,,,16,0,0,2116,36,0,0,1050,0.21460317,0.30288638,0.11852741,0.38855589,9.92060481,,,,,,,,,,,
RIX Steele 2010b-ZAF,,,,,5,0,0,379,3,0,0,96,0.4144385,0.73943209,0.0972869,1.76549232,4.74758556,,,,,,,,,,,2007
RIX Zaman 2017-BGD,,,,,21,0,0,1816,40,0,0,2021,0.57940111,0.27144234,0.34035112,0.98635095,10.3690172,,,,,,,,,,,2017
Rotavirus diarrhoea: severe (2nd year of life),DIC,MH,Risk Ratio,Random,106,,,20484,300,,,18106,0.28525316,,0.16481704,0.4936951,100,36.78229962,0.00002878,75.53170929,0.49961602,4.48195457,0.0000074,33.16506521,0.00000006,93.96955807,9,
Low-mortality countries,DIC,MH,Risk Ratio,Random,24,,,8107,119,,,6701,0.13023682,,0.08347348,0.20319783,33.21869311,1.82010914,0.61056893,0,0,8.98148087,0,,,,3,
RIX Bernstein 1999-USA,,,,,1,0,0,91,10,0,0,93,0.1021978,1.03839217,0.01335244,0.78220858,4.96420487,,,,,,,,,,,1999
RIX Phua 2009-AS,,,,,2,0,0,5221,36,0,0,5194,0.05526825,0.72621878,0.01331427,0.22942159,7.62689108,,,,,,,,,,,2009
RIX Vesikari 2004b-FIN,,,,,2,0,0,241,6,0,0,120,0.1659751,0.80881639,0.03400769,0.81004419,6.78877755,,,,,,,,,,,2004
RIX Vesikari 2007a-EU,,,,,19,0,0,2554,67,0,0,1294,0.14367863,0.25766764,0.08670918,0.238078,13.83881961,,,,,,,,,,,2007
Medium-mortality countries,DIC,MH,Risk Ratio,Random,38,,,9061,149,,,8672,0.24248621,,0.16940287,0.34709896,33.99018671,0.9804928,0.61247552,0,0,7.74231269,0,,,,2,
RIX Li 2014-CHN,,,,,13,0,0,1500,43,0,0,1479,0.29809302,0.31438208,0.16097161,0.55201938,13.08858504,,,,,,,,,,,2014
RIX Ruiz-Palac 06-LA/EU,,,,,22,0,0,7175,103,0,0,7062,0.21022834,0.23426973,0.13282521,0.33273771,14.12608652,,,,,,,,,,,2006
RIX Salinas 2005-LA,,,,,3,0,0,386,3,0,0,131,0.33937824,0.81021133,0.06934751,1.66087569,6.77551515,,,,,,,,,,,2005
